City,Cloudiness,Country Code,Humidity,Latitude,Temperature(F),Wind Speed
Shubarkuduk,36,KZ,79,49.15,10.63,6.64
Severo-Kurilsk,64,RU,100,50.68,26.47,14.7
Kaitangata,0,NZ,76,-46.28,68.86,3.62
Trairi,8,BR,97,-3.28,82.94,15.93
Punta Arenas,76,CL,79,-53.16,52.7,16.26
Tasiilaq,0,GL,91,65.61,17.33,4.18
Ilhabela,88,BR,100,-23.78,77.32,5.3
Mataura,0,NZ,67,-46.19,71.74,5.64
Dinguiraye,88,GN,99,11.29,67.28,3.62
Baker City,90,US,73,44.77,26.11,5.82
Meulaboh,12,ID,100,4.14,80.74,3.62
Nikolskoye,0,RU,64,59.7,-13.36,5.75
Thompson,40,CA,78,55.74,17.6,3.36
Ponta do Sol,76,BR,98,-20.63,65.71,2.73
Vermillion,1,US,74,42.78,33.03,6.93
Rikitea,64,PF,100,-23.12,79.84,14.03
New Norfolk,68,AU,64,-42.78,69.26,8.21
Jamestown,0,AU,44,-33.21,75.43,16.37
Rikitea,64,PF,100,-23.12,79.84,14.03
Sept-Iles,0,CA,56,50.2,5.9,2.39
Hithadhoo,76,MV,100,-0.6,83.71,7.65
Lebu,64,ET,87,8.96,46.63,2.62
Rikitea,64,PF,100,-23.12,79.84,14.03
